Gender Height Weight Firstborn
1 36 990 0
0 48 3150 1
1 48 2755 0
1 48 2830 0
0 57 4460 1
1 46 2820 1
0 54 4200 1
0 51 4300 0
0 51 3685 0
1 49 2840 1
0 50 3395 1
1 48 2710 1
1 46 2510 1
1 51 3510 1
1 50 3330 0
0 50 3990 0
0 52 4120 0
1 52 3900 0
1 48 2860 1
0 51 3785 0
0 53 4210 0
0 50 3080 0
1 50 2980 1
0 53 4270 1
1 48 2755 0
1 48 2830 0
0 53 3770 1
1 52 3800 0
0 52 3790 1
1 50 3250 0
1 50 3270 0
0 47 2510 0
1 50 3600 0
1 48 2620 1
1 50 3335 0
0 54 4125 0
0 50 3350 1
1 47 3025 0
1 50 3090 0
0 52 3923 0
1 53 4260 0
0 51 3625 1
1 50 3360 0
1 56 4540 0
1 50 3325 1
1 51.5 4130 0
0 52 3940 1
0 51 3315 1
1 50 2980 1
1 49 3060 1
0 49 3455 0
0 49 3830 0
0 54 3820 0
1 49 3325 1
0 55 4000 0
0 51 3625 0
0 51 3500 0
0 49 2800 0
0 55 3750 1
0 52 3385 1
1 51 3870 0
0 50 3500 0
0 49 3930 0
1 45 2020 1
0 51 2900 1
0 52 3590 1
1 50 3760 1
1 51.5 3550 1
1 49.5 2600 0
1 53 3900 0
0 52 3790 1
1 51 3305 0
1 52.5 3740 0
0 54 3820 0
0 51.5 3930 0
0 52.5 4450 1
0 50 3315 1
0 52 4360 0
1 47 2820 0
1 51 4110 0
1 52 3520 1
1 47 2245 0
1 46 2680 0
0 47 2835 1
1 50 3450 1
1 48 3065 1
0 55 4760 0
0 53 3830 1
0 54 4200 0
0 53 3390 1
0 51 4030 1
0 51 3890 1
0 51 3880 0
0 53 3640 1
1 51 3600 0
1 47 2920 0
1 50 3290 0
1 52 4290 0
0 49 3220 0
1 51 3540 0
