"SCHOOLID" "STUDID" "ST03Q02" "ST03Q03" "ST01Q01" "ST02Q01" "ST04Q01" "ST05Q01" "ST12Q01" "ST16Q01" "ST27Q01" "ST27Q02" "ST27Q03" "ST27Q04" "ST27Q05" "ST27Q06" "ST27Q07" "ST27Q08" "ST27Q09" "ST27Q10" "ST27Q11" "ST27Q12" "ST27Q13" "age" "ICTHOME" "ICTSCH" "ENTUSE" "HOMSCH" "USESCH" "HIGHCONF" "ATTCOMP" "joyread" "wealth" "divread" "onlnread" "schclim" "studrel" "libuse" "HISEI" "ESCS" "W_FSTUWT" "stuwt" "urban" "region" "ST43N01" "ST43N02" "ST43N04" "ST43N05" "ST43N06" "ST47N01" "ST47N02" "ST47N03" "readscore" "mathscore" "sciescore" "natlang" "math"
"1" 1001 1 6 1993 9 1 1 3 2 1 2 3 3 2 2 2 2 3 3 2 2 3 2 15.83 1.4147 -0.7461 0.1525 -0.4112 -1.6448 -0.7351 -0.108 0.0665 1.3021 -0.0608 -0.2726 0.0185 0.1656 0.3711 43 0.7996 12.5499 1.18632216130029 1 1 1 1 2 1 1 2 1 1 551.136 562.868 550.11 9 9
"2" 1001 2 10 1993 9 1 1 3 3 1 4 4 3 3 2 4 4 3 4 3 4 3 3 15.5 1.4147 0.4655 -0.105 -0.0907 -0.3782 -0.307 -0.108 0.6743 0.4683 0.9681 -0.2726 0.0185 -0.6255 -0.2164 53 0.6701 12.5499 1.18632216130029 1 1 1 1 2 1 2 1 2 2 586.01 534.046 564.658 9 8
"3" 1001 3 11 1993 9 1 1 3 1 1 4 4 2 3 2 4 2 2 4 3 4 2 3 15.42 -0.4363 0.4655 0.1525 -0.9077 -0.3782 0.2774 0.8605 0.417 -1.6242 -0.0608 -0.2726 -0.4352 0.1656 -0.0497 69 -0.0894 12.5499 1.18632216130029 1 1 1 1 1 2 1 2 2 2 637.806 585.924 586.944 9 8
"4" 1001 4 7 1993 9 1 1 2 1 1 3 2 4 2 2 2 3 3 3 2 3 2 2 15.75 -0.1488 0.4655 -0.9436 -0.9077 -1.6448 -0.7351 -0.7516 0.6743 -0.4797 -0.2655 -0.4393 -0.4352 0.1656 -0.4562 53 0.4199 12.5499 1.18632216130029 1 1 1 1 1 2 2 2 2 2 617.23 612.486 562.234 9 8
"5" 1001 5 8 1993 9 1 1 3 4 2 2 2 2 2 1 2 1 2 2 2 2 2 1 15.67 0.6354 0.0914 0.0243 -0.4112 -0.3782 -0.307 -0.108 NA 0.4683 0.1407 -0.4393 0.5091 0.1656 0.1892 38 -0.0576 12.5499 1.18632216130029 1 1 1 1 2 2 2 2 3 3 549.546 551.498 541.72 8 6
"6" 1001 6 5 1993 9 1 1 3 3 1 3 4 4 2 2 2 2 4 2 3 3 4 2 15.92 NA NA NA NA NA NA NA 0.6743 1.9172 -1.4975 0.4111 0.5091 -0.6255 0.3711 39 0.5304 12.5499 1.18632216130029 1 1 1 1 1 1 2 2 2 2 452.788 447.742 466.094 7 8
"7" 1001 7 4 1993 9 1 1 2 1 1 4 4 3 3 3 4 3 4 4 2 3 3 3 16 1.4147 0.8015 -0.7905 -0.0907 0.1155 -1.1129 -2.4405 0.5421 0.4683 1.2062 -0.6061 0.0185 0.1656 -0.4562 43 -0.2841 12.5499 1.18632216130029 1 1 1 1 1 2 2 2 2 2 555.106 539.968 474.956 9 8
"8" 1001 8 7 1993 9 1 1 3 1 4 3 3 1 1 1 3 2 3 3 2 2 1 2 15.75 -0.4363 0.0914 -0.2364 -1.9204 -1.6448 -1.9641 -0.7516 -0.0441 -0.4797 -0.0608 -0.6061 -0.4352 0.1656 -0.4562 37 -0.1726 12.5499 1.18632216130029 1 1 1 1 2 1 2 2 2 2 554.154 525.558 553.748 8 8
"9" 1001 9 8 1993 9 1 1 3 1 1 2 1 3 3 3 2 3 1 1 1 1 2 1 15.67 -0.9244 -2.7908 0.0243 -1.9204 -1.6448 -0.307 0.8605 -0.1533 -0.7797 1.8072 -0.1049 0.5091 -1.0885 0.7472 38 -0.6782 12.5499 1.18632216130029 1 1 1 1 2 2 2 3 3 2 515.706 484.428 519.154 7 5
"10" 1001 10 5 1993 9 1 1 3 4 1 3 4 2 3 2 4 2 2 3 3 4 3 3 15.92 -0.6915 0.8015 0.2807 -0.9077 -0.3782 -1.3011 0.8605 1.6882 -1.0752 1.4775 1.1426 0.0185 -0.3082 0.6019 30 -0.4717 12.5499 1.18632216130029 1 1 1 1 1 2 2 2 1 2 592.524 567.228 544.424 8 9
"11" 1001 11 11 1993 9 1 1 3 2 1 2 4 3 3 3 3 2 2 4 3 2 2 2 15.42 -0.6915 0.8015 -0.6449 -0.0907 -0.3782 -1.1129 -0.7516 1.4768 -0.4797 1.2062 -0.2726 -0.4352 -0.6255 0.2846 51 0.6127 12.5499 1.18632216130029 1 1 1 1 2 1 2 3 2 1 619.376 624.714 607.178 8 9
"12" 1001 12 3 1993 9 1 1 3 1 1 3 2 2 3 1 4 3 3 3 2 2 3 2 16.08 0.1906 0.0914 -1.1099 -0.9077 -0.0975 -0.9268 -1.4169 1.9344 0.1345 1.8072 -0.7747 0.0185 0.1656 1.0494 67 1.073 12.5499 1.18632216130029 1 1 1 1 2 1 1 1 1 1 612.302 658.52 647.09 10 9
"13" 1001 13 6 1993 9 1 1 3 1 1 2 3 1 3 1 3 2 3 3 3 3 2 2 15.83 NA NA 0.6903 -0.4112 0.6785 -0.5313 -0.7516 -0.1533 -0.7797 0.5436 0.0646 0.0185 0.1656 -0.2164 30 -1.1383 12.5499 1.18632216130029 1 1 1 1 2 1 2 2 3 2 618.98 573.618 609.512 8 7
"14" 1001 14 9 1993 8 1 1 3 2 2 3 3 4 3 2 4 3 2 4 3 4 2 4 15.58 -1.1425 0.0914 -0.7905 -0.0907 0.4339 -0.5313 -0.108 0.2959 -0.1771 -0.2655 -0.4393 1.0878 -0.6255 0.0805 33 -0.2341 12.5499 1.18632216130029 1 1 1 2 1 2 2 2 1 1 380.656 345.934 370.606 8 5
"15" 1001 15 1 1994 8 1 1 3 1 1 3 2 3 3 2 3 3 3 3 3 3 2 2 15.25 0.1906 -0.7461 -0.2364 -0.9077 -0.3782 -0.307 -0.7516 1.289 0.1345 1.2062 -0.4393 0.5091 0.1656 0.675 70 1.3481 12.5499 1.18632216130029 1 1 1 1 2 1 2 2 2 2 602.136 564.038 621.728 9 9
"16" 1001 16 4 1993 9 1 1 3 1 1 3 3 2 3 1 3 1 4 3 2 3 2 2 16 0.1906 0.8015 -0.7905 -0.9077 -0.3782 -0.307 0.8605 0.8127 0.4683 0.9681 -0.2726 0.0185 -0.6255 0.6019 69 1.2219 12.5499 1.18632216130029 1 1 1 1 2 1 2 3 2 2 663.544 664.598 661.08 9 9
"17" 1001 17 9 1993 9 1 1 3 1 1 2 3 2 3 2 2 2 2 3 2 2 2 3 15.58 1.4147 1.7993 1.0216 0.5289 0.8847 0.7331 0.8605 -0.1533 1.3021 0.9681 0.7648 -0.4352 -0.3082 0.9701 51 0.5053 12.5499 1.18632216130029 1 1 1 1 2 2 2 2 2 2 475.988 457.012 438.96 8 5
"18" 1001 18 6 1993 9 1 2 3 NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA 15.83 NA NA -0.2364 -0.9077 -0.3782 -1.3011 -0.7516 NA -0.1771 -1.4975 -0.6061 -1.1303 -1.0885 -0.8644 51 0.2302 14.4139 1.36252312773539 1 1 1 1 2 2 2 3 3 3 500.694 602.672 574.45 8 7
"19" 1001 19 9 1993 9 1 2 2 1 1 3 1 2 2 1 3 1 2 2 1 3 2 1 15.58 0.1906 0.8015 0.6903 -1.9204 0.1155 1.6189 -0.108 0.2959 0.1345 0.75 0.5861 -0.821 -0.6255 -0.4562 45 -0.2266 14.4139 1.36252312773539 1 1 1 1 1 2 2 2 2 3 589.196 626.664 627.136 9 8
"20" 1001 20 4 1993 9 1 2 3 1 1 3 4 3 3 2 3 4 2 3 1 2 2 3 16 -0.6915 -0.3413 -0.7905 -0.4112 0.2879 -1.3011 0.8605 1.118 0.1345 1.4775 -0.9506 0.5091 0.1656 1.1332 54 0.7904 14.4139 1.36252312773539 1 1 1 1 1 2 2 3 1 2 623.27 629.778 659.584 8 9
"21" 1001 21 3 1993 9 1 2 3 1 1 4 2 4 3 1 2 3 2 3 2 3 2 2 16.08 -0.1488 0.8015 -1.5173 -0.9077 -0.3782 -0.5313 -0.7516 -1.4461 0.8459 -0.6951 -1.1377 0.0185 -1.0885 -0.0497 51 0.5264 14.4139 1.36252312773539 1 1 1 1 2 2 2 2 2 2 339.48 444.158 371.45 6 6
"22" 1001 23 8 1993 9 1 2 3 1 1 2 1 2 1 1 2 2 3 3 2 3 2 2 15.67 0.1906 0.4655 0.4122 -0.9077 -0.7921 -0.307 -0.7516 -0.8022 0.1345 0.75 -1.344 -0.821 -1.2896 0.1892 33 -0.9774 14.4139 1.36252312773539 1 1 1 1 2 2 2 2 1 2 499.974 610.382 548.248 8 8
"23" 1001 24 7 1993 9 1 2 2 1 1 2 3 1 3 1 3 2 3 3 2 3 3 2 15.75 0.1906 -0.3413 1.0216 -0.4112 -0.3782 -0.307 -0.7516 -0.9169 0.4683 -0.477 0.2369 -0.821 -2.2767 -0.8644 70 1.1593 14.4139 1.36252312773539 1 1 1 1 1 2 2 3 3 3 552.242 562.166 552.816 6 6
"24" 1001 26 1 1994 7 1 2 2 1 1 3 2 2 1 3 2 1 2 1 1 3 2 1 15.25 -0.4363 0.4655 -0.6449 -1.9204 0.6785 -1.4978 0.8605 -0.2604 -0.7797 -0.0608 -0.7747 0.5091 0.1656 -0.0497 53 0.0467 14.7499 1.39428467533313 1 1 1 1 1 1 1 3 3 1 427.664 404.824 390.47 8 6
"25" 1001 27 9 1993 9 1 2 3 1 1 2 2 2 2 2 3 2 2 3 2 3 2 2 15.58 -0.4363 0.0914 1.2324 -0.0907 0.6785 -0.7351 -0.7516 -1.2973 0.1345 -1.1912 0.4111 -1.1303 -1.2896 NA 43 0.6787 14.4139 1.36252312773539 1 1 1 1 2 1 2 3 3 3 526.186 564.814 511.132 8 8
"26" 1001 28 8 1993 9 1 2 1 4 1 2 2 4 3 2 3 4 1 3 2 4 2 2 15.67 0.1906 0.8015 -0.6449 -0.0907 -0.0975 -0.0459 0.8605 -0.0441 -0.7797 -0.2655 -0.7747 -0.4352 0.1656 1.0494 59 0.007 14.4139 1.36252312773539 1 1 1 1 2 2 2 2 2 3 567.554 597.142 604.476 8 8
"27" 1001 29 5 1993 9 1 2 2 1 1 3 3 3 3 3 3 3 2 3 2 3 2 4 15.92 0.6354 1.7993 0.9054 0.1513 1.1631 0.2774 0.8605 -0.0441 -0.4797 1.2062 1.1426 1.0878 -1.7021 1.3213 43 0 14.4139 1.36252312773539 1 1 1 1 1 1 2 3 2 3 427.504 433.564 402.592 7 6
"28" 1001 31 12 1993 9 1 2 1 1 1 3 3 2 4 3 3 3 2 1 2 4 2 2 15.33 -0.4363 -1.1122 -0.3689 -0.9077 -0.3782 -0.7351 -0.7516 -0.4746 -0.1771 -0.0608 -1.5762 0.5091 -0.6255 -0.7432 66 0.8749 14.4139 1.36252312773539 1 1 1 1 2 1 1 3 1 1 600.102 643.098 621.726 7 9
"29" 1001 32 9 1993 9 1 2 1 2 1 1 2 3 3 1 3 2 4 3 2 4 4 1 15.58 -0.1488 -0.7461 -1.2967 -0.9077 -0.3782 0.7331 0.8605 -0.3675 3.0536 -0.477 -0.6061 -0.4352 1.3809 0.4967 90 2.2939 14.4139 1.36252312773539 1 1 1 1 2 2 2 3 2 2 495.164 559.442 546.754 7 9
"30" 1001 33 1 1994 8 1 2 3 1 1 4 4 4 4 4 4 3 2 2 3 4 3 4 15.25 0.1906 -2.7908 -1.1099 -0.0907 -1.6448 -3.5908 -0.108 -2.4469 -0.1771 -0.6951 -0.9506 0.5091 -0.6255 -0.8644 43 0.0536 14.7499 1.39428467533313 1 1 1 2 2 2 2 4 2 1 414.034 482.794 414.62 5 5
